goinsry01,43
goldspa01,221
gomesya01,79
gomezca01,29
gonsoto01,1
gonzama02,0
gonzach01,0
gonzaer01,19
gonzagi01,0
gonzama01,162
goodrni01,178
goodwbr01,153
goodyni01,0
gordoal01,184
gordode01,110
gorete01,18
gosseph01,15
gotttr01,0
gracema02,0
grandya01,185
grandcu01,105
grateju01,3
grayjo02,3
grayso01,8
greench03,0
greenza01,3
gregelu01,0
gregodi01,105
greingr01,43
grichra01,207
grishtr01,23
grossro01,128
gsellro01,0
guerrde01,0
guerrju02,1
guerrta01,0
guerrvl02,169
guerrta02,0
guilllu01,14
gurrilo01,161
gourryu01,257
gustaja01,0
gutieke01,26
guzmaro01,78
haaseer01,0
haderjo01,0
hamelco01,3
hammejd01,0
hampsga01,60
handbr01,0
hanigmi01,114
hansoal01,7
happia01,31
happja01,0
hardybl01,0
harpebr03,229
harpery01,0
harriwi10,0
harrijo05,36
hartlge01,0
harvejo01,0
haselad01,41
healyry01,77
hedgeau01,84
heinesc01,6
hellije01,1
helslry01,1
hendrky01,8
hendrli01,0
heredgu01,62
hergeji01,0
hermomi01,0
hernace02,187
hernada01,0
hernael01,1
hernaen02,140
hernafe02,0
hernama02,36
hernate01,143
herreke01,0
herreod01,43
herrero02,33
herrmch01,21
hessda01,0
heywaja01,188
hicksaa01,98
hicksjo02,97
hicksjo03,0
higasky01,23
hildetr01,0
hillri01,2
hillti01,0
hiranyo01,0
hiurake01,138
hoffmje02,3
holadbr01,38
holdejo02,0
hollagr01,0
holmecl01,0
holtbr01,71
hoskirh01,210
hosmeer01,220
housead01,2
howarsa01,0
hudsoda02,2
hundlni01,25
hunteto02,0
iannech01,60
iglesjo01,168
iglesra01,0
inciaen01,79
irvinco01,1
jacksal02,0
jacksdr01,0
jacksja01,0
jackslu01,0
jamesjo02,0
jankotr01,0
janseda01,114
janseke01,0
jayjo02,49
jeffrje01,0
jennida01,0
jerezwi01,0
jewelja01,0
jimenel02,160
jimenjo02,0
joeco01,1
johnsbr02,0
johnsdj01,0
jonesad01,179
jonesja07,128
josepca01,6
josepco01,8
joycema01,54
judgeaa01,122
junisja01,0
juradar01,0
kahnlto01,0
kangju01,68
kelake01,0
kellebr01,1
kellemi03,0
kellesh01,0
kellyca02,136
kellyjo05,0
kellyme01,1
kempma01,17
kendrho01,145
kenneia01,0
keplema01,249
kershcl01,5
keuchda01,4
kieboca01,11
kiermke01,163
kimbrcr01,0
kineris01,48
kingesc01,166
kinlety01,0
kinslia01,95
kintzbr01,0
kipnija01,162
kittran01,0
klinebr01,0
klubeco01,0
knappan01,26
kniznan01,13
kochma01,0
krameke01,0
kuhnejo01,0
lasteto01,140
lagarju01,60
lambja01,50
lambepe01,7
lametdi01,1
lauerer01,5
laurera01,197
lavarry01,13
lawde01,0
leblawa01,0
leclejo01,0
lemahdj01,251
leonsa01,44
leonedo01,0
lestejo01,11
leybado01,4
lintz02,6
lindofr01,233
liriafr01,1
litteza01,0
locasti01,55
lockewa01,1
longsh01,26
longoev01,154
lopesti01,18
lopezjo02,0
lopezni01,93
lopezpa01,6
lopezre01,0
lopezyo01,0
lorenmi01,6
loupaa01,0
lovelri01,0
lowebr01,146
lowena01,52
lucasjo02,0
lucchjo01,3
luciael01,0
lugoda01,41
lugose01,0
luplojo01,98
lynnla01,0
lyonsty01,0
machama01,223
maedake01,13
mahlety01,4
mahtomi01,0
mailelu01,27
mancitr01,250
mapledi01,0
margeni01,3
margoma01,122
marisja01,104
markani01,157
marquge01,17
marrede01,0
marshev01,0
marteke01,279
martest01,241
martibr01,0
martija03,11
martile01,81
martiri01,72
martiru01,52
martica04,0
martijd02,260
martijo08,125
martini02,4
mathije01,47
matzst01,14
maydu01,0
maytr01,0
maybica01,94
mayermi01,0
mayfija01,15
mayzati01,0
mazarno01,189
mazzach01,0
mccanbr01,101
mccanja02,172
mccarke01,0
mccutan01,100
mcfartj01,0
mcgeeja01,0
mcgowky01,1
mcguire01,20
mchugco01,0
mckaybr01,0
mckinbi01,86
mcmahry01,171
mcneije01,210
mcraeal01,1
meadoau01,214
meansjo01,1
mejiafr01,87
melviti01,1
menezco01,0
mengdda01,0
mercaos01,139
mercejo03,74
merriwh01,256
mikolmi01,8
mileywa01,0
millean01,0
milleju02,0
millesh01,0
millsal02,1
minayju01,0
minormi01,0
minteaj01,0
molinya01,103
moncayo01,205
mondera02,145
montafr02,0
montera01,0
mooredy01,64
moranco01,160
morejad01,0
morelmi01,105
morgaad01,0
morofma01,8
moronre01,0
morrilo01,4
mortoch02,0
moustmi01,242
mullice01,10
muncyma01,229
munozan01,0
munozya01,58
murphda08,164
murphjr01,26
murphto04,113
musgrha01,0
musgrjo01,6
myerswi01,136
naquity01,122
narvaom01,158
naylojo01,68
nelsoji02,0
nerishe01,0
neshepa01,0
neverdo01,0
newbeja01,0
newcose01,0
newmake01,149
nicasju01,0
nidoto01,38
nimmobr01,42
noesihe01,1
nogosst01,0
nolaaa01,4
nolaau01,72
nollja01,3
norrida01,1
norwoja01,0
nottija01,5
novaiv01,0
nunezdo01,7
nunezed02,51
nunezre01,213
obriepe01,11
ogradbr01,1
ohearry01,73
oneilty01,56
orourry01,0
obergsc01,0
odorro01,169
odorija01,0
ohse01,0
ohtansh01,171
olsonma02,187
olsonty01,0
ortegra01,7
osichjo01,0
osunajo01,76
osunaro01,0
oswalco01,0
oteroda01,0
ottavad01,0
ozunama01,180
paddach01,3
paganem01,0
palkada01,1
pannoth01,0
parkeja03,0
parsowe01,0
paxtoja01,0
payamjo01,0
payanpe01,0
pearcst01,23
pederjo01,176
pedrodu01,2
penafe01,0
pencehu01,158
peralda01,176
peralfr01,2
peralwa01,0
peralwi01,0
perazjo01,108
perdolu02,1
perezhe01,64
perezma02,0
perezmi03,15
perezol01,0
perezro02,140
peterdu01,14
peterja01,31
peterti01,0
petityu01,0
petrija01,0
phamth01,201
phegljo01,105
phillbr02,4
phillev01,0
pinama01,53
pindech01,115
pinedmi01,0
pireljo01,0
piscost01,147
pivetni01,2
plaweke01,40
plutkad01,0
pocheco01,0
polangr01,65
polanjo01,252
polloaj01,92
ponceda01,0
poppese01,0
porceri01,0
poseybu01,125
poundbr01,0
poynebo01,0
pradoma01,59
pressry01,0
priceda01,1
profaju01,140
pruitau01,0
pujolal01,167
quantca01,1
quijajo01,0
quinnro01,40
quintjo01,3
raineta01,0
ramirha01,16
ramirha02,119
ramirjo01,217
ramirni01,0
ramirno01,0
ramosed02,0
ramoswi01,155
ravelra01,5
rayro02,3
readra01,0
realmjt01,208
reddijo01,156
reedaj01,9
reedco01,0
reedmi02,0
reidfse01,0
reiniza01,0
rendoan01,265
renfrhu01,201
rengilu01,111
reyesal02,0
reyesge01,0
reyespa01,19
reyesvi01,52
reynobr01,187
reynoma01,42
rhameja01,0
riddljt01,49
rileyau01,119
riosed01,20
riosya01,0
riverya01,13
rizzoan01,233
roberda10,50
roberda08,0
robindr01,1
robleha01,0
roblevi01,183
rodgebr02,19
rodride01,5
rodriri05,0
rodriro03,87
rodrise01,29
roech01,0
rogerja03,20
rogerta01,0
rojasjo01,7
rojasmi02,146
romansa01,0
rominau01,71
rondohe01,0
rosaram01,216
