TB,HR
111,5
0,0
0,0
19,2
52,1
187,13
42,4
0,0
49,6
119,17
20,2
0,0
13,0
233,25
50,2
0,0
1,0
0,0
183,16
19,0
5,0
0,0
87,9
29,3
0,0
20,4
0,0
7,0
146,4
0,0
71,6
0,0
216,12
226,27
0,0
2,0
0,0
104,8
0,0
60,6
0,0
6,0
0,0
14,2
0,0
7,0
0,0
7,0
2,0
175,28
125,2
138,14
0,0
155,23
246,30
207,21
1,0
198,21
127,12
0,0
18,2
8,0
161,17
0,0
200,29
1,0
0,0
0,0
173,12
130,17
198,11
0,0
251,22
0,0
147,10
103,10
0,0
0,0
0,0
55,6
0,0
0,0
12,0
110,5
0,0
0,0
54,6
0,0
10,0
58,4
0,0
11,0
89,10
129,12
0,0
45,2
149,5
1,0
72,12
144,19
0,0
10,1
79,4
23,1
247,35
0,0
4,0
1,0
2,0
234,28
0,0
218,27
0,0
48,4
3,0
0,0
13,1
31,2
0,0
0,0
0,0
8,0
112,7
12,0
0,0
264,28
8,0
13,1
25,0
3,0
0,0
5,0
0,0
0,0
239,34
0,0
1,0
15,0
0,0
0,0
113,13
180,17
0,0
13,2
2,0
0,0
163,8
0,0
197,22
121,12
10,2
128,9
0,0
21,0
7,0
0,0
121,15
0,0
39,6
147,17
22,3
0,0
2,0
41,1
1,0
0,0
0,0
0,0
240,31
0,0
21,0
49,6
0,0
11,1
0,0
285,42
36,2
6,1
0,0
211,22
184,13
0,0
70,9
0,0
13,0
3,0
31,2
0,0
204,18
10,1
10,0
62,4
67,5
0,0
187,18
0,0
9,1
2,0
0,0
0,0
163,12
0,0
0,0
0,0
224,17
21,1
0,0
0,0
185,28
97,7
172,19
0,0
174,12
6,0
0,0
14,1
0,0
6,0
0,0
0,0
196,22
0,0
98,5
18,1
11,0
0,0
2,0
0,0
0,0
5,1
0,0
0,0
0,0
0,0
0,0
39,0
16,1
0,0
0,0
68,10
4,1
109,10
0,0
0,0
26,2
0,0
5,0
0,0
5,0
2,0
0,0
0,0
160,16
0,0
5,0
0,0
104,1
156,9
0,0
16,0
0,0
0,0
11,0
0,0
1,0
0,0
0,0
145,17
0,0
297,41
